a	c
herbage	'hə:bidʤ
herbal	'hə:bəl
herbalist	'hə:bəlist
herbaria	hə:'beəriəm
herbarium	hə:'beəriəm
herbicidal	,hə:bi'said
herbicide	'hə:bisaid
herbiferous	hə:'bifərəs
herbivora	hə:'bivərə
herbivorous	hə:'bivərəs
herborist	hə:'bərist
herborization	,hə:bərai'zeiʃn
herborize	'hə:bəraiz
herby	'hə:bi
herculean	,hə:kju'li:ən
hercules	'hə:kjuli:z
herd	hə:d
herdsman	'hə:dzmən
here	hiə
here's	'hiəz
hereabout	'hiərə,baut
hereabouts	'hiərə,baut
hereafter	hiər'ɑ:ftə
hereat	hiər'æt
hereby	'hiə'bai
hereditable	hi'reditəbl
hereditament	,heri'ditəmənt
hereditariness	hi'reditərinis
hereditary	hi'reditəri
hereditism	hi'reditizm
hereditist	hi'reditist
heredity	hi'rediti
herein	'hiər'in
hereinafter	'hiərin'ɑ:ftə
hereinbefore	'hiərinbi'fɔ:
hereof	hiər'ɔv
hereon	'hiərə'pɔn
heresiarch	he'ri:ziɑ:k
heresy	'herəsi
heretic	'herətik
heretical	hi'retikəl
hereto	'hiə'tu:
heretofore	'hiətu'fɔ:
hereunder	hiər'ʌndə
hereunto	'hiə'tu:
hereupon	'hiərə'pɔn
herewith	'hiə'wið
heritability	,heritə'biliti
heritable	'heritəbl
heritor	'heritə
herl	hɑ:l
hermaphrodism	hə:'mæfrədizm
hermaphrodite	hə:'mæfrədait
hermaphroditic	hə:,mæfrə'ditik
hermaphroditical	hə:,mæfrə'ditik
hermaphroditism	hə:'mæfrədizm
hermes	'hə:mi:z
hermetic	hə:'metik
hermit	'hə:mit
hermitage	'hə:mitidʤ
hermitic	hə:'mitik
hermitical	hə:'mitik
hern	'herən
hernia	'hə:njə
hernial	'hə:njəl
herniated	'hə:nieitid
herniotomy	,hə:ni'ɔtəmi
hernshaw	'hə:nʃɔ:
hero	'hiərou
heroes	'hiərou
heroic	hi'rouik
heroically	hi'rouikəli
heroify	hi'rouifai
heroin	'herouin
heroine	'herouin
heroise	'hiərouaiz
heroism	'herouizm
heroize	'hiərouaiz
heron	'herən
heronry	'herənri
herpes	'hə:pi:z
herpetic	hə:'petik
herpetologist	,hə:pi'tɔlədʤist
herpetology	,hə:pi'tɔlədʤi
herring	'heriɳ
herritage	'heritidʤ
hers	hə:z
herself	hə:'self
hertz	hə:ts
hesitance	'hezitəns
hesitancy	'hezitəns
hesitant	'hezitənt
hesitate	'heziteit
hesitatingly	'heziteitiɳli
hesitation	,hezi'teiʃn
hesitative	'heziteitiv
hesperian	hes'piəriən
hesperus	'hespərəs
hessian	'hesiən
hest	hest
het	het
hetaera	hi'tiərə
hetaerae	hi'tiərə
hetaerism	hi'tiərizm
hetaira	hi'tiərə
hetairism	hi'tiərizm
heterochromatic	,hetəroukrə'mætik
heteroclite	'hetərouklait
heterocylic	,hetərou'saiklik
heterodox	'hetərədɔks
heterodoxy	'hetərədɔksi
heterodyne	'hetərədain
heterogamy	,hetə'rɔgəmi
heterogeneity	,hetəroudʤi'ni:iti
heterogeneous	,hetəroudʤi'njəs
heterogenesis	,hetərou'dʤenisis
heteromorphic	,hetərou'mɔ:fik
heteromorphism	,hetərou'mɔ:fizm
heterotrophic	,hetərou'trɔfik
heterozygote	,hetərou'zaigout
heuristic	hjuə'ristik
hew	hju:
hewer	'hju:ə
hewn	hju:
hexachord	'heksəkɔ:d
hexad	'heksæd
hexagon	'heksægən
hexagonal	hek'sægənl
hexagram	'heksəgræm
hexahedral	'heksə'hedrəl
hexahedron	'heksə'hedrən
hexameter	hek'sæmitə
hexametric	,heksə'metrik
hexametrical	,heksə'metrik
hexane	'heksein
hexangular	hek'sæɳgjulə
hexapod	'heksəpɔd
hexapodous	'heksəpɔd
hexarchy	'heksɑ:ki
hexatomic	,heksə'tɔmik
hexavalent	,heksə'veilənt
hexose	'heksous
hey	hei
heyday	'heidei
hi	hai
hiatus	hai'eitəs
hiatuses	hai'eitəs
hibernal	hai'bə:nl
hibernant	'haibə:nənt
hibernate	'haibə:neit
hibernation	,haibə:'neiʃn
hibernian	hai'bə:njən
hibernicism	hai'bə:nisizm
hibiscus	hi'biskəs
hiccough	'hikʌp
hiccup	'hikʌp
hick	hik
hickory	hikəri
hid	'hid
hidalgo	hi'dælgou
hidden	haid
hide	haid
hideous	'hidiəs
hideousness	'hidiəsnis
hiding	'haidiɳ
hidrosis	hi'drousis
hidrotic	hi'drɔtik
hie	hai
hiemal	'haiiməl
hierachy	'haiərɑ:ki
hierarch	'haiərɑ:k
hierarchic	,haiə'rɑ:kik
hierarchical	,haiə'rɑ:kik
hierarchism	'haiərɑ:kizm
hieratic	,haiə'rætik
hierocracy	,haiə'rɔkrəsi
higgle	'higl
high	hai
highball	'haibɔ:l
highboy	'haibɔi
highbrow	'haibrau
highflown	'haifloun
highflyer	'haiflaiə
highflying	'hai'flaiiɳ
highjack	'haidʤæk
highjacker	'hai,dʤækə
highjinks	'hai'dʤiɳks
highland	'hailənd
highlander	'hailəndə
highly	'haili
highness	'hainis
highproof	'haipru:f
hight	hait
highway	'haiwei
highwayman	'haiweimən
hijack	'haidʤæk
hijacker	'hai,dʤækə
hike	haik
hila	'hailəm
hilarious	hi'leəriəs
hilariousness	hi'leəriəsnis
hilarity	hi'læriti
hilary	'hiləri
hill	hil
hilling	'hiliɳ
hillness	'hilinis
hillo	hi'lou
hilloa	hi'lou
hillock	'hilək
hillside	'hil'said
hilly	'hili
hilt	hilt
hilum	'hailəm
him	him
himself	him'self
hind	haind
hindbrain	'haind'brein
hinder	'haində
hindermost	'haindmoust
hindi	'hin'di:
hindmost	'haindmoust
hindoo	'hin'du:
hindrance	'hindrəns
hindsight	'haindsait
hindu	'hin'du:
hinduism	'hindu:izm
hinduize	'hindu:aiz
hindustani	,hindu'stɑ:ni
hinge	hindʤ
hinged	hindʤd
hingeless	'hindʤlis
hinnie	'hini
hinny	'hini
hint	hint
hinterland	'hintəlænd
hintingly	'hintiɳli
hip	hip
hipe	haip
hipped	hipt
hippie	'hipi
hippo	'hipo
hippocampi	,hipou'kæmpəs
hippocampus	,hipou'kæmpəs
hippocras	'hipoukræs
hippodrome	'hipədroum
hippopotamus	,hipə'pɔtəməs
hippy	'hipi
hipster	'hipstə
hirable	'haiərəbl
hircine	'hə:sain
hire	'haiə
hired	'haiəd
hireling	'haiəliɳ
hirsute	'hə:sju:t
hirudinoid	hi'ru:dinɔid
hirundine	hi'rʌndin
his	hiz
hispid	'hispid
hispidity	'hispiditi
hiss	his
hist	hist
histamine	'histəmi:n
histiology	his'tɔlədʤi
histogenesis	,histou'dʤenisis
histogenetic	,histoudʤi'netik
histogeny	,histou'dʤenisis
histological	,histə'lɔdʤikəl
histologist	his'tɔlədʤist
histology	his'tɔlədʤi
histolysis	his'tɔlisis
historian	his'tɔ:riən
historic	his'tɔrik
historical	his'tɔrikəl
historicity	,histə'risiti
historied	'histərid
historiographer	,histɔ:ri'ɔgrəfə
historiography	,histɔ:ri'ɔgrəfi
history	'histəri
histrion	'histriən
histrionic	,histri'ɔnik
histrionics	,histri'ɔniks
hit	hit
hitch	hitʃ
hither	'hiðə
hitherto	'hiðə'tu:
hitlerism	'hitlərizm
hitlerite	'hitlərait
hive	haiv
hives	haivz
ho	hou
hoar	'hɔ:
hoard	hɔ:d
hoarder	'hɔ:də
hoarding	'hɔ:diɳ
hoarfrost	'hɔ:'haund
hoarhound	'hɔ:haund
hoariness	'hɔ:rinis
hoarse	hɔ:s
hoarsen	'hɔ:sn
hoarseness	'hɔ:snis
hoarstone	'hɔ:stoun
hoary	'hɔ:ri
hoax	houks
hob	hɔb
hobble	'hɔbl
hobbledehoy	'hɔbldi'hɔi
hobbledehoyish	'hɔbldi'hɔiʃ
hobbledehoyism	'hɔbldi'hɔizm
hobby	'hɔbi
hobgoblin	'hɔb,gɔblin
hobnail	'hɔbneil
hobnailed	'hɔbneild
hobnob	'hɔbneild
hobo	'houbou
hoboy	'oubɔi
hock	hɔk
hockey	'hɔki
hockshop	'hɔkʃɔp
hocus	'houkəs
hod	hɔd
hodden	'hɔdn
hodge	hɔdʤ
hodiernal	,houdi'ə:nəl
hodman	'hɔdmən
hodometer	hɔ'dɔmitə
hoe	hou
hog	hɔg
hogback	'hɔgbæk
hogcote	'hɔgkout
hoggery	'hɔgəri
hogget	'gɔgit
hoggin	'gɔgin
hoggish	'hɔgiʃ
hoggishness	'hɔgiʃnis
hogpen	'hɔgkout
hogshead	'hɔgzhed
hogtie	'gɔgtai
hoick	hɔik
hoicks	hɔik
hoiden	'hɔidn
hoidenish	'hɔidəniʃ
hoik	hɔik
hoist	hɔist
hokum	'houkəm
hold	hould
holdall	'houldɔ:l
holdback	'houldbæk
holder	'houldə
holdfast	'houldfɑ:st
holding	'houldiɳ
holdout	'houldaut
holdover	'hould,ouvə
holdup	'houldʌp
hole	'houl
holey	'houli
holiday	'hɔlədi
holily	'hɔlədi
holiness	'houlinis
holland	'hɔlənd
hollander	'hɔləndə
holler	'hɔlə
hollo	'hɔlou
holloa	'hɔlou
hollow	'hɔlou
hollowness	'hɔlounis
holly	'hɔli
hollyhock	'hɔlihɔk
hollywood	'hɔliwud
holm	houm
holmium	'houlmiəm
holmme	houm
holocaust	'hɔləkɔ:st
holocene	'hɔlousi:n
holograph	'hɔləgrɑ:f
holohedral	'hɔlou'hedrəl
holohedron	,hɔlou'hedrən
holometabola	,hɔloumi'tæbɔlə
holothurian	,hɔlə'θjuəriən
holster	'houlstə
holt	hɔlt
holy	'houli
holystone	'houlistoun
homage	'hɔmidʤ
home	houm
homecide	'hɔmisaid
homecraft	'houmkrɑ:ft
homeland	'houmlænd
homeless	'houmlisnis
homelessness	'houmlisnisnis
homeletic	,hɔmi'letik
homeletics	,hɔmi'letiks
homelike	'houmlaik
homeliness	'houmlinis
homely	'houmli
homeopath	'houmjəpæθ
homeopathic	,houmjə'pæθik
homeopathy	,houmi'ɔpəθi
homer	'houmə
homeric	hou'merik
homesick	'houmsik
homesickness	'houmsiknis
homespun	'houmspʌn
homestead	'houmsted
homeward	'houmwəd
homewards	'houmwəd
homework	'houmwə:k
homey	'houmi
homicidal	,hɔmi'saidl
homilist	'hɔmilist
homily	'hɔmili
homing	'houmiɳ
hominy	'hɔmini
homo	'houmou
homocentric	'houmou'sentrik
homoeopath	'houmjəpæθ
homoeopathic	,houmjə'pæθik
homoeopathy	,houmi'ɔpəθi
homoerotism	'houmouseksju'æliti
homogamy	hə'mɔgəmi
homogeneity	,hɔmoudʤe'ni:iti
homogeneous	,hɔmə'dʤi:njəs
homogeneousness	,hɔmoudʤe'ni:iti
homogenesis	,hɔmou'dʤenisis
homogenetic	,hɔmədʤi'netik
homogenise	hɔ'mɔdʤinaiz
homogenize	hɔ'mɔdʤinaiz
homograph	'hɔmougrɑ:f
homologate	hɔ'mɔləgeit
homologation	hɔ,mɔlə'geiʃn
homological	hɔ'mɔləgəs
homologise	hɔ'mɔlədʤaiz
homologize	hɔ'mɔlədʤaiz
homologous	hɔ'mɔləgəs
homologue	'hɔməlɔg
homology	hɔ'mɔlədʤi
homomorphic	,hɔmə'mɔ:fik
homomorphism	,hɔmə'mɔ:fizm
homomorphous	,hɔmə'mɔ:fik
homonym	'hɔmənim
homonymic	,hɔmə'nimik
homonymous	,hɔmə'nimik
homonymy	hɔ'mɔnimi
homophonic	'hɔmə'fɔnik
homophony	hɔ'mɔfəni
homopterous	hɔ'mɔptərəs
homosexual	'houmou'seksjuəl
homosexuality	'houmouseksju'æliti
homozygote	,hɔmou'zaigout
homuncule	hɔ'mʌnkju:l
homy	'houmi
hone	houn
honest	'ɔnist
honestly	'ɔnistli
honesty	'ɔnisti
honey	'hʌni
honeycomb	'hʌnikoum
honeyed	'hʌnid
honeymoon	'hʌnimu:n
honeysuckle	'hʌni,sʌkl
hong	hɔɳ
honied	'hʌnid
honk	hɔɳk
honor	'ɔnə
honorable	'ɔnərəbl
honorably	'ɔnərəbli
honoraria	,ɔnə'reəriəm
honorarium	,ɔnə'reəriəm
honorary	'ɔnərəri
honorific	,ɔnə'rifik
honour	'ɔnə
honourable	'ɔnərəbl
honourably	'ɔnərəbli
hooch	hu:tʃ
hood	hud
hooded	'hudid
hoodie	'hudi
hoodlum	'hudləm
hoodoo	'hu:du:
hoodwink	'hudwiɳk
hoody	'hudi
hooey	'hu:i
hoof	'hu:f
hoofbeat	'hu:fbi:t
hoofbound	'hu:fbaund
hoofed	'hu:ft
hoofer	hu:fə
hook	huk
hooka	'hukə
hookah	'hukə
hooked	'hukt
hooker	'hukə
hookey	'huki
hooklet	'huklit
hooky	'huki
hooligan	'hu:ligən
hooliganism	'hu:ligənizm
hoop	hu:p
hooper	'hu:pə
hoopoe	'hu:pu:
hoot	hu:t
hooter	'hu:te
hoots	'hu:ts
hoove	hu:v
hooves	'hu:f
hop	hɔp
hope	houp
hopeful	'houpful
hopefulness	'houpfulnis
hopeless	'houplis
hopelessness	'houplisnis
hophead	'hɔphed
hoplite	'hɔplait
hopper	'hɔpə
hopple	'hɔpl
hopscotch	'hɔpskɔtʃ
horary	'hɔ:rəri
horde	hɔ:d
horehound	'hɔ:haund
horizon	hə'raizn
horizontal	,hɔri'zɔntl
hormone	'hɔ:moun
hormonic	hɔ:'mɔnik
horn	hɔ:n
hornbeam	'hɔ:nbi:m
hornblende	'hɔ:nblend
horned	hɔ:nd
horner	'hɔ:nə
hornet	'hɔ:nit
horniness	'hɔ:ninis
hornless	'hɔ:nlis
hornlike	'hɔ:nlaik
hornpipe	'hɔ:npaip
hornrimmed	'hɔ:n'rimd
hornswoggle	'hɔ:n,swɔgl
horny	'hɔ:ni
horologe	'hɔrəlɔdʤ
horologer	hɔ'rəlɔdʤə
horologic	,hɔrə'lɔdʤik
horological	,hɔrə'lɔdʤik
horologist	hɔ'rɔlədʤist
horology	hɔ'rɔlədʤist
horoscope	'hɔrəskoup
horoscopic	,hɔrə'skɔpik
horoscopical	,hɔrə'skɔpik
horoscopy	hɔ'rɔskəpi
horrendous	hɔ'rendəs
horrent	'hɔrənt
horrible	'hɔrəbl
horribleness	'hɔrəblnis
horrid	'hɔrid
horridness	'hɔridnis
horrific	hɔ'rifik
horrify	'hɔrifai
horripilate	hɔ'ripileit
horripilation	hɔ,ripi'leiʃn
horror	'hɔrə
horse	hɔ:s
horseback	'hɔ:sbæk
horseflesh	'hɔ:sfleʃ
horsehair	'hɔ:sheə
horseleech	'hɔ:sli:tʃ
horseman	'hɔ:smən
horsemanship	'hɔ:smənʃip
horseplay	'hɔ:splei
horseshoe	'hɔ:ʃʃu:
horseshoer	'hɔ:ʃʃu:ə
horsewhip	'hɔ:swip
horsewoman	'hɔ:s,wumən
horsiness	'hɔ:sinis
horsy	'hɔ:si
hortative	'hɔ:tətiv
hortatory	'hɔ:tətiv
horticultural	,hɔ:ti'kʌltʃərəl
horticulture	'hɔ:tikʌltʃə
horticulturist	,hɔ:ti'kʌltʃərist
hose	houz
hosier	'houʤə
hosiery	'houʤəri
hospice	'hɔspis
hospitable	'hɔspitəbl
hospital	'hɔspitl
hospitaler	'hɔspitlə
hospitalise	'hɔspitəlaiz
hospitalism	'hɔspitlizm
hospitality	,hɔspi'tæliti
hospitalization	,hɔspitəlai'zeiʃn
hospitalize	'hɔspitəlaiz
hospitaller	'hɔspitlə
host	houst
hostage	'hɔstidʤ
hostel	'hɔstəl
hostelry	'hɔstəlri
hostess	'houstis
hostile	'hɔstail
hostility	hɔs'tiliti
hostler	'ɔslə
hot	hɔt
hotbed	'hɔtbed
hotbrain	'hɔthed
hotchpot	'hɔtʃpɔt
hotchpotch	'hɔtʃpɔt
hotel	hou'tel
hotelier	hou'tel,ki:pə
hotfoot	'hɔtfut
hothead	'hɔthed
hothouse	'hɔthaus
hotspur	'hɔtspə:
hottentot	'hɔtntɔt
hough	hɔk
hound	haund
houndfish	'haundfiʃ
hour	'auə
houri	'huəri
hourly	'auəli
house	haus
houseboat	'hausbout
housebreaker	'haus,breikə
housedress	'hausdres
houseful	'hausful
household	'haushould
householder	'haus,houldə
housekeeper	'haus,ki:pə
housekeeping	'haus,ki:piɳ
houseleek	'hausli:k
houseless	'hauslis
housemaid	'hausmeid
housemaster	'haus,mɑ:stə
housewife	'hauswaif
housewifely	'haus,waifli
housewifery	'hauswifəri
housework	'hauswə:k
housewrecker	'haus,rekə
housing	'hauziɳ
hove	hi:v
hovel	'hɔvəl
hoveller	'hɔvələ
hover	'hɔvə
how	hau
howbeit	'hau'bi:it
howdah	'haudə
however	hau'evə
howitzer	'hauitsə
howl	haul
howler	'haulə
howlet	'haulit
howling	'hauliɳ
howsoever	,hausou'evə
hoy	hɔi
hoyden	'hɔidn
hoydenish	'hɔidəniʃ
hub	hʌb
hubbub	'hʌbʌb
hubby	'hʌbi
hubris	'hju:bris
huck	'hʌkəbæk
huckaback	'hʌkəbæk
huckle	'hʌkl
huckster	'hʌkstə
hucksterer	'hʌkstərə
hucksteress	'hʌkstəris
huckstery	'hʌkstəri
huddle	hʌdl
hue	hju:
huff	hʌf
huffiness	'hʌfinis
huffish	'hʌfiʃ
huffishness	'hʌfiʃnis
hug	hʌg
huge	hju:dʤ
hugely	'hju:dʤli
hugeness	'hju:dʤnis
hugeous	'hju:dʤəs
hugeousness	'hʌgə,dʤəsnis
hula	'hu:lə
hulk	hʌlk
hulking	'hʌlkiɳ
hull	hʌl
hullabaloo	,hʌləbə'lu:s
hullo	'hʌ'lou
hulloa	'hʌ'lou
hum	hʌm
human	'hju:mən
humane	'hju:mein
humanely	'hju:meinli
humaneness	hju'meinnis
humanise	'hju:mənaiz
humanism	'hju:mənizm
humanist	'hju:mənist
humanitarian	hju:,mæni'teəriən
humanitarianism	hju:,mæni'teəriənizm
humanity	hju:'mæniti
humanization	,hju:mənai'zeiʃn
humanize	'hju:mənaiz
humankind	'hju:mən'kaind
humanly	'hju:mənli
humanness	'hju:mənnis
humble	'hʌmbl
humbleness	'hʌmblnis
humbug	'hʌmbʌg
humbuggery	'hʌmbʌgəri
humdinger	hʌm'diɳə
humdrum	'hʌmdrʌm
humeral	'hju:mərəl
humerus	'hju:mərəs
humid	'hju:mid
humidification	'hju:,midifi'keiʃn
humidifier	hju:'midifaiə
humidify	hju:'midifai
humidity	hju:'miditi
humidor	'hju:midə
humiliate	hju:'mileit
humiliating	hju:'milieitiɳ
humiliation	hju:'mili'eiʃn
humiliatory	hju:'milieitiɳ
humility	hju:'militi
hummel	'hʌml
hummer	'hʌmə
humming	'hʌmiɳ
hummock	'hʌmək
hummocky	'hʌməki
hummor	'hju:mə
hummoral	'hju:mərəl
humorist	'hju:mərəs
humorous	'hju:mərəs
humorousness	'hju:mərəsnis
humour	'hju:mə
humourist	'hju:mərəs
humoursome	'hju:məsəm
humoursomeness	'hju:məsəmnis
hump	hʌmp
humpback	'hʌmpbæk
humpbacked	'hʌmpbækt
humped	hʌmpt
humph	hʌmf
humpless	'hʌmplis
humpy	'hʌmpi
humus	'hju:məs
hun	Hʌn
hunch	'hʌntʃ
hunchback	'hʌmpbæk
hunchbacked	'hʌmpbækt
hundred	'hʌndrəd
hundredfold	'hʌndrədfould
hundredth	'hʌndrədθ
hundredthweight	'hʌndrədweit
hung	hæɳ
hungarian	hʌɳ'geəriən
hunger	'hʌɳgə
hungry	'hʌɳgri
hunk	hʌɳk
hunkers	'hʌɳkəz
hunks	hʌɳks
hunky	'hʌɳki
hunnish	'hʌniʃ
hunt	hʌnt
hunter	'hʌntə
hunting	'hʌntiɳ
huntress	'hʌntris
huntsman	'hʌtsmən
hurdle	'hə:dl
hurdler	'hə:dlə
hurds	hə:dz
hurl	hə:l
hurley	'hə:li
hurrah	hu'rɑ:
hurray	hu'rɑ:
hurricane	'hʌrikən
hurried	'hʌrid
hurry	'hʌri
hurst	hə:st
hurt	hə:t
hurtful	'hə:tful
hurtfulness	'hə:tfulnis
hurtle	'hə:tl
hurtless	'hə:tlis
husband	'hʌzbənd
husbandhood	'hʌzbəndhud
husbandlike	'hʌzbəndlaik
husbandman	'hʌzbəndmən
husbandry	'hʌzbəndri
husbandship	'hʌzbəndhud
hush	hʌʃ
hushaby	'hʌʃəbai
husk	hʌsk
huskily	'hʌskili
huskiness	'hʌskinis
husky	'hʌski
hussar	hu'zɑ:
hussy	'hʌsi
hustings	'hʌstiɳz
hustle	'hʌsl
hustler	'hʌslə
hut	hʌt
hutch	hʌtʃ
hutment	'hʌtmənt
huzza	hu'rɑ:
huzzy	'hʌsi
hyacinth	'haiəsinθ
hyaena	hai'i:nə
hyaline	'hɑiəlin
hyalite	'haiəlait
hyaloid	'haiəlɔid
hybrid	'haibrid
hybridise	'haibridaiz
hybridity	hai'briditi
hybridization	,haibridai'zeiʃn
hybridize	'haibridaiz
hydatid	'haidətid
hydra	'haidrə
hydragyrism	,haidrɑ:'dʤirizm
hydragyrum	hai'drɑ:dʤirəm
hydrangea	hai'dreindʤə
hydrant	'haidrənt
hydrargyric	,haidrɑ:'dʤirik
hydrate	'haidreit
hydration	hai'dreiʃn
hydraulic	hai'drɔ:lik
hydraulics	hai'drɔ:liks
hydric	'haidrik
hydride	'haidraid
hydro	'haidrou
hydroacoustics	'haidrouə'ku:stiks
hydroaeroplane	'haidrou'eərəplein
hydrocarbon	'haidrou'kɑ:bən
hydrocephalic	'haidrouke'fælik
hydrocephalus	'haidrou'sefələs
hydrochloric	'haidrou'klɔ:rik
hydrocyanic	'haidrousai'ænik
hydrodynamic	'haidroudai'næmik
hydrodynamical	'haidroudai'næmik
hydrodynamics	'haidroudai'næmiks
hydroelectric	'haidroui'lektrik
hydrofluoric	'haidrouflu:'ɔrik
hydrogen	'haidridʤən
hydrogenate	'haidrədʤineit
hydrogenation	,haidrədʤi'neiʃn
hydrogenise	'haidrədʤineit
hydrogenize	'haidrədʤineit
hydrogenous	hai'drɔdʤinəs
hydrographer	hai'drɔgrəfə
hydrographic	,haidrou'græfik
hydrographical	,haidrou'græfik
hydrography	hai'drɔgrəfi
hydroid	'haidrɔid
hydrokinetic	'haidroukai'netik
hydrokinetics	'haidroukai'netiks
hydrologic	,haidrou'lɔdʤi
hydrological	,haidrou'lɔdʤi
hydrology	hai'drɔlədʤi
hydrolysis	hai'drɔlisis
hydrolyte	'haidroulait
hydrolyze	'haidrəlaiz
hydromancy	'haidroumænsi
hydromania	'haidrou'meinjə
hydromechanical	'haidroumi'kænikəl
hydromechanics	'haidroumi'kæniks
hydromel	'haidroumel
hydrometer	hai'drɔmitə
hydrometric	,haidrou'metrik
hydrometry	hai'drɔmitri
hydropathic	,haidrə'pæθik
hydropathy	hai'drɔpəθi
hydrophobia	,haidrə'foubjə
hydrophone	'haidrəfoun
hydrophyte	'haidrəfait
hydropic	hai'drɔpik
hydroplane	'haidrouplein
hydroponic	'haidrou'pɔpik
hydroponics	'haidrou'pɔniks
hydropsy	'haidrɔpsi
hydroquinone	'haidroukwi'noun
hydroscope	'haidrəskoup
hydrosphere	'haidrousfiə
hydrostatic	,haidrou'stætik
hydrostatics	,haidrou'stætiks
hydrostherapeutic	'haidrou,θerə'pju:tik
hydrotherapy	,haidrou'θerəpi
hydrothermal	'haidrou'θə:məl
hydrothorax	'haidrou'θɔ:ræks
hydrotropic	,haidrou'trɔpik
hydrotropism	hai'drɔtrəpizm
hydrous	'haidrəs
hydroxide	hai'drɔksaid
hydrozoa	'haidrə'zouə
hyena	hai'i:nə
hyetograph	'haiətougrɑ:f
hyetographic	,haiətou'græfik
hyetography	,haiə'tɔgrəfi
hyetological	,haiətou'lɔdʤikəl
hyetology	,haiətɔlədʤi
hygeia	hai'dʤi:ə
hygeian	hai'dʤi:ən
hygiene	'haidʤi:n
hygienic	hai'dʤi:nik
hygienical	hai'dʤi:nik
hygienics	hai'dʤi:niks
hygienist	'haidʤi:nist
hygrology	hai'grɔlədʤi
hygrometer	hai'grɔmitə
hygrometric	,haigrou'metrik
hygrometry	hai'grɔmitri
hygroscope	'haigrəskoup
hygroscopic	,haigrou'skɔpik
hygroscopy	hai'grɔskəpi
hylic	'hailik
hylozoism	,hailə'zouizm
hymen	'haimən
hymeneal	,haime'ni:əl
hymenopterous	,haimi'nɔptərəs
hymn	him
hymnal	'himnəl
hymnic	'himnik
hymnist	'himnist
hymnodist	'himnist
hymnody	'himnədi
hymnographer	'himnist
hymnology	him'nɔlədʤi
hyoid	'haiɔid
hyp	hip
hypaethral	hi'pi:θrəl
hyperaesthesia	'haipəri:s'θi:siə
hyperaesthetic	'haipəri:s'θetik
hyperbaton	hai'pə:bətɔn
hyperbola	hai'pə:bələ
hyperbolae	hai'pə:bələ
hyperbole	hai'pə:bəli
hyperbolic	,haipə:'bɔlik
hyperbolical	,haipə:'bɔlikəl
hyperbolism	hai'pə:bəlizm
hyperbolist	hai'pə:bəlist
hyperboloid	hai'pə:bəlɔid
hyperborean	,haipə:bɔ:'ri:ən
hypercritical	'haipə:'kritikəl
hypercriticise	'haipə:'kritisaiz
hypercriticism	'haipə:'kritisizm
hypercriticize	'haipə:'kritisaiz
hypermetric	'haipə:'metrik
hypermetropia	'haipə:mi'troupjə
hyperphysical	'haipə:'fizikəl
hyperplasia	'haipə:'pleiziə
hypersensitive	'haipə:'sensitiv
hypertension	'haipə:'tenʃn
hypertensive	'haipə:'tensiv
hyperthral	hi'pi:θrəl
hypertrophic	'haipə:'trɔfik
hypertrophied	'haipə:'trɔfik
hypertrophy	hai'pə:trəfi
hyphen	'haifən
hyphenate	'haifən
hyphenated	'haifəneitid
hypnogenesis	,hipnou'dʤenisis
hypnogenetic	,hipnoudʤi'netik
hypnology	hip'nɔlədʤi
hypnosis	hip'nousis
hypnotic	hip'nɔtik
hypnotise	'hipnətaiz
hypnotism	'hipnətizm
hypnotist	'hipnətist
hypnotize	'hipnətaiz
hypo	,haipou'sʌlfait
hypocaust	'haipəkɔ:st
hypochondria	,haupou'kɔndriə
hypochondriac	,haupou'kɔndriæk
hypocrisy	hi'pɔkrəsi
hypocrite	'hipɔkrit
hypocritical	,hipə'kritikəl
hypodermatic	,haipədə:'mætik
hypodermic	,haipə'də:mik
hypophysis	hai'pɔfisis
hypostasis	hai'pɔstəsis
hyposulphite	,haipou'sʌlfait
hypotension	,haipou'tenʃn
hypotensive	,haipou'tensiv
hypotenuse	hai'pɔtinju:z
hypothec	hai'pɔθik
hypothecary	hai'pɔθikəri
hypothecate	hai'pɔθikeit
hypothecation	hai,pɔθi'keiʃn
hypothermia	,haipou'θə:miə
hypotheses	hai'pɔθisis
hypothesis	hai'pɔθisis
hypothesise	hai'pɔθisaiz
hypothesize	hai'pɔθisaiz
hypothetic	,haipou'θetikəl
hyppogriph	'hipəgrif
hyppogryph	'hipəgrif
hypsography	hip'sɔgrəfi
hypsometer	hip'sɔmitə
hypsometric	,hipsou'metrik
hypsometry	hip'sɔmitri
hyson	'haisn
hyssop	'hisəp
hysteresis	,histə'ri:sis
hysteria	his'tiəriə
hysterical	his'terikəl
hysterics	his'teriks
hysterogenic	,histərou'dʤənik
hysterotomy	,histə'rɔtəmi
i	ai
i'd	aid
i'll	ail
i'm	aim
i've	aiv
iamb	ai'æmbəs
iambi	ai'æmbəs
iambic	ai'æmbik
iambus	ai'æmbəs
iberian	ai'biəriən
ibex	'aibeks
ibices	'aibeks
ibidem	i'baidem
ibis	'aibis
ice	ais
iceberg	'aisbə:g
iceblink	'aisbliɳk
iced	aist
icelander	'aishləndə
icelandic	ais'lændik
iceman	'aismæn
ichneumon	ik'nju:mən
ichnography	ik'nɔgrəfi
ichnolite	'iknəlait
ichnology	ik'nɔlədʤi
ichor	'aikɔ:
ichorous	'aikərəs
ichthyographer	,ikθi'ɔgrəfə
ichthyography	,ikθi'ɔgrəfi
ichthyoid	'ikθiɔid
